price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
12250,2012.0,16,0,3,2,101000.0,4,0,0,0,5,35
10995,2011.0,4,0,5,2,103000.0,0,0,0,9,0,22
2495,1994.0,8,2,5,2,156775.0,0,0,1,2,10,43
9200,2010.0,39,0,3,2,69052.0,0,0,1,9,0,19
9995,2014.0,7,3,3,2,105671.0,0,0,0,0,0,23
6899,2011.0,17,0,3,2,141030.0,0,0,1,9,3,37
4200,1999.0,34,2,6,2,159000.0,0,0,0,10,0,42
11800,2012.0,20,5,5,2,72455.0,5,0,0,0,5,4
11900,2016.0,13,2,3,2,46671.0,0,0,1,7,8,9
15900,2018.0,13,3,3,2,12500.0,0,0,1,4,1,43
51995,2013.0,7,2,6,2,65000.0,0,1,2,2,8,6
22995,2009.0,32,2,6,2,83407.0,0,0,2,9,0,1
9500,2014.0,5,0,3,2,44300.0,0,0,1,9,9,22
6500,2008.0,7,0,5,2,166800.0,0,0,1,8,2,4
17000,2008.0,13,2,6,0,142000.0,0,0,0,10,9,1
6500,1998.0,13,2,6,2,176000.0,0,0,2,2,1,36
7000,2009.0,3,2,5,2,155841.0,0,0,0,9,0,8
5299,2008.0,24,0,5,2,146000.0,0,0,0,0,0,38
15900,2011.0,10,0,5,2,108000.0,0,0,1,5,10,29
39995,2017.0,31,0,6,2,42319.0,0,0,0,10,9,11
7500,2010.0,7,2,3,2,37600.0,0,0,1,4,9,21
6500,1998.0,39,2,3,2,189900.0,0,1,0,10,4,2
8888,2001.0,10,2,6,2,134087.0,0,0,0,10,3,12
29990,2017.0,34,2,5,4,32127.0,0,2,0,8,9,19
45995,2019.0,34,3,6,2,8056.0,0,0,0,10,8,32
13600,2017.0,39,2,3,2,85812.0,0,0,1,9,10,9
19500,2006.0,7,2,6,2,33000.0,0,0,0,10,10,30
7495,2002.0,7,0,6,2,122000.0,0,0,2,11,10,38
3995,1999.0,13,2,5,2,127220.0,0,0,0,8,0,39
15500,2018.0,17,3,3,2,13600.0,0,0,1,9,5,27
9500,2013.0,7,0,5,2,105000.0,0,0,1,0,9,48
9895,2006.0,7,2,5,2,82790.0,0,0,1,5,10,35
8499,2009.0,13,2,5,2,91000.0,0,0,1,0,9,9
13999,2011.0,13,0,3,2,32152.0,0,0,2,8,0,11
17950,2015.0,28,3,3,2,14950.0,0,0,1,3,10,37
8995,2013.0,40,2,3,2,119893.0,0,0,1,12,3,36
1000,2006.0,13,1,5,2,334000.0,0,2,0,9,1,48
7650,2006.0,39,0,5,3,106088.0,0,0,0,0,1,19
12950,2008.0,14,2,6,2,148023.0,0,0,0,12,10,35
12300,2015.0,31,3,3,2,49370.0,0,0,1,9,10,19
3900,2005.0,13,2,5,2,160000.0,0,0,1,0,8,9
5995,2004.0,39,2,3,2,185210.0,0,0,1,9,1,17
11900,2011.0,19,0,6,2,78609.0,0,0,2,9,5,35
35988,2017.0,37,0,3,2,27177.0,0,1,0,9,0,13
13999,2017.0,13,3,3,2,77358.0,0,0,1,0,10,4
32590,2017.0,14,2,6,2,47316.0,0,0,0,8,0,34
17495,2018.0,7,3,3,2,28000.0,0,0,1,0,0,22
8500,2013.0,25,0,3,2,157690.0,0,0,1,0,5,27
4950,2014.0,13,0,3,2,89353.0,5,0,1,9,5,22
2500,2003.0,39,0,5,2,220000.0,0,0,1,5,1,27
23488,2004.0,7,0,6,2,24477.0,0,0,2,8,3,3
10995,2017.0,39,2,3,2,96940.0,0,0,1,9,9,4
4000,2006.0,8,2,3,2,157000.0,0,0,1,9,9,48
5500,2011.0,14,0,5,2,155145.0,0,0,0,0,5,36
12400,2011.0,24,2,5,2,123019.0,0,0,0,12,0,48
13900,2016.0,7,0,3,2,26184.0,0,0,1,9,1,20
7995,2006.0,10,0,5,2,165447.0,0,0,0,8,10,37
3500,2010.0,13,2,3,2,192000.0,0,0,1,11,5,14
20000,2015.0,23,0,3,3,71000.0,0,0,1,4,5,11
3500,1993.0,4,0,6,2,183350.0,0,0,2,9,10,38
45000,2015.0,35,0,6,2,29250.0,0,0,0,0,0,34
1995,2000.0,7,2,6,2,200000.0,0,0,2,8,10,43
4250,2008.0,5,2,5,2,211295.0,0,0,1,9,3,23
5500,1994.0,39,2,5,2,182101.0,2,1,0,0,1,21
8500,2014.0,31,3,3,2,52250.0,4,0,1,9,5,12
5130,2010.0,13,0,3,2,118261.0,0,0,1,9,8,30
1250,1992.0,26,1,5,2,325000.0,0,0,2,3,4,37
28500,2017.0,10,3,6,2,21000.0,0,0,2,3,9,22
1000,1995.0,7,2,5,2,60000.0,0,0,1,5,10,43
4450,2006.0,36,2,5,2,148626.0,0,0,0,0,4,29
5000,2010.0,16,2,3,2,185500.0,0,0,1,9,5,4
3200,2000.0,34,2,6,2,120235.0,0,0,0,10,8,34
22400,2018.0,31,3,3,2,25000.0,1,0,1,0,10,10
8995,2009.0,0,2,5,2,185000.0,0,0,0,0,0,5
3500,2001.0,13,2,3,2,175200.0,0,1,1,4,3,38
16100,2011.0,10,3,6,2,90200.0,0,1,2,3,0,9
8500,2015.0,10,3,3,2,76780.0,4,0,1,9,1,31
3800,2006.0,13,2,5,2,205000.0,0,0,2,0,1,9
14990,2000.0,13,2,6,2,263967.0,0,0,0,8,8,4
6995,2016.0,17,0,3,2,191000.0,0,0,1,4,8,22
2500,2003.0,13,2,5,2,282000.0,0,1,2,8,10,43
5995,2003.0,16,2,5,2,162241.0,0,0,1,11,10,4
2350,1992.0,14,1,5,2,174000.0,0,1,2,8,8,7
2995,2003.0,20,2,5,2,166391.0,0,0,0,0,3,9
5695,2005.0,16,0,3,2,138000.0,0,0,1,3,9,46
4500,2004.0,39,0,5,2,128000.0,0,0,1,11,9,7
95000,2008.0,13,3,6,0,79000.0,0,0,0,7,10,23
8950,2014.0,21,0,3,2,76000.0,0,0,1,9,5,12
2700,2000.0,13,1,6,0,301050.0,0,0,2,11,4,27
6500,1998.0,13,2,3,0,204000.0,0,0,2,10,10,22
13000,1984.0,13,2,3,0,288117.0,4,1,0,10,3,37
13950,2011.0,20,0,5,2,176317.0,0,1,0,0,4,2
23995,2012.0,13,0,5,2,80231.0,0,0,0,8,8,31
17999,2011.0,7,0,6,2,137315.0,0,0,0,8,1,31
8995,2016.0,13,2,3,2,53953.0,0,0,1,9,9,22
6990,2004.0,13,0,6,2,167000.0,0,0,0,8,1,23
7500,2006.0,13,0,5,2,77000.0,0,0,2,3,10,26
16495,2017.0,39,3,3,2,54163.0,0,0,1,9,9,31
2700,2009.0,21,2,3,2,190000.0,0,0,1,9,8,45
3995,2003.0,13,2,6,2,185938.0,0,0,0,0,8,23
5800,2004.0,16,0,5,2,210579.0,0,0,0,0,5,4
8000,2010.0,16,2,5,2,187000.0,0,0,0,0,9,3
23500,2018.0,6,0,5,2,34500.0,4,0,0,9,9,22
10900,2010.0,39,0,3,2,182000.0,0,0,1,0,4,42
4500,2001.0,7,2,6,2,203000.0,0,0,1,8,10,14
5995,2009.0,13,2,5,2,180000.0,0,0,1,0,10,16
13500,2007.0,19,0,6,2,90000.0,0,0,2,2,8,19
6000,2010.0,13,0,3,2,117000.0,0,0,1,0,9,43
27995,2015.0,13,2,5,2,176123.0,0,0,0,10,10,9
34995,2017.0,7,2,6,2,59475.0,0,0,0,0,0,38
14400,2013.0,16,0,3,2,93033.0,0,0,1,0,10,1
10995,2012.0,39,0,3,2,98654.0,0,0,1,9,9,37
2900,2003.0,5,2,5,2,143361.0,0,0,1,9,9,29
4995,1997.0,14,2,6,2,175000.0,0,0,0,0,1,15
15990,2006.0,34,2,5,0,234962.0,0,0,0,10,0,45
3000,2005.0,18,3,6,2,110000.0,0,0,0,0,5,3
13800,2006.0,13,0,6,2,141454.0,0,0,0,8,0,9
4000,2006.0,13,1,3,2,191400.0,0,0,0,12,9,47
1600,2007.0,8,1,5,2,180850.0,0,0,1,5,7,48
1200,1999.0,7,2,3,2,130000.0,0,0,1,11,10,34
4995,2002.0,20,2,5,2,160169.0,0,0,2,7,9,3
14965,2010.0,13,0,6,2,129732.0,0,0,0,10,0,22
44900,2017.0,13,0,6,0,12935.0,0,0,0,8,10,15
3200,2007.0,36,2,5,2,142000.0,0,0,1,9,8,12
